S.no.,TITLE,Enrolls
0,python for data science,14936
1,introduction to data science,14477
2,big data 101,13291
3,hadoop 101,10599
4,data analysis with python,8303
5,data science methodology,7719
6,machine learning with python,7644
7,spark fundamentals i,7551
8,data science hands on with open source tools,7199
9,blockchain essentials,6719
10,data visualization with python,6709
11,deep learning 101,6323
12,build your own chatbot,5512
13,r for data science,5237
14,statistics 101,5015
15,introduction to cloud,4983
16,docker essentials  a developer introduction,4480
17,sql and relational databases 101,3697
18,mapreduce and yarn,3670
19,data privacy fundamentals,3624
